Title,Regular Price,SKU,Product Type,Parent Product ID,Quantity,Material-type,Shape,Cutting-method,Colour,Sizemm,Waste-removal,Lamination-finishing
Food Packaging Sticker Sample,45,,variable,1376,100,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,45,,variable,1376,100,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,45,,variable,1376,100,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,45,,variable,1376,100,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,55,,variable,1376,200,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,55,,variable,1376,200,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,55,,variable,1376,200,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,55,,variable,1376,200,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,63,,variable,1376,300,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,63,,variable,1376,300,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,63,,variable,1376,300,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,63,,variable,1376,300,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,72,,variable,1376,400,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,72,,variable,1376,400,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,72,,variable,1376,400,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),No,None
Food Packaging Sticker Sample,72,,variable,1376,400,Mirrorcoat Sticker,Round,Die-Cutting,CMYK,30(w) x 30(h),Yes,None
Food Packaging Sticker Sample,85,,variable,1376,500,Mirrorcoat Sticker,Round,None,CMYK,30(w) x 30(h),No,None
